# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
ロッキーから侵入者の報告を聞く	Rocky reports the intruders
スライムにつかまり動けない長田君	A slime has Nagata-kun stuck fast
そこに防衛隊長ロッキーが現れる	Rocky the defence captain appears
主人公がランスの子と分かると	Once he learns whose child it is
ロッキーはお供に加わった	Rocky joins them
ロッキーが居るので安全に進めます	With Rocky along the way is safe
ランスＪｒの情報	What is known of Rance Jr.
牢屋	The cells
掠われた娘達を助ける	The stolen girls are freed
長田君がいなくなった	Nagata-kun has gone missing
その頃、長田君	Meanwhile, Nagata-kun
一人で逃げようとしていた	He was trying to run off alone
山賊に捕まった長田君を助ける	The bandits catch him; they save him
二人の友情は深まった	Their friendship deepens
ランスＪｒが現れた	Rance Jr. appears
話合いは決裂	Talks break down
この男は偽者と分かる	The man turns out to be a fake
その夜、テント	That night, in the tent
長田君とソウルフレンド	Soul friends with Nagata-kun
５つのオーブと兄弟を捜す	Five orbs and the siblings to find
次はシャングリラへ向かう	Shangri-La comes next
？？？、クエルプラン	???, Quelplan
自らの姿がもう分からない	She no longer knows her own shape
主人公達はダークランスに救われた	Dark Rance saved them
仲間達、母親達	The party, and the mothers
自分達は失敗した	They failed
リセット、志津香、ナギも帰還	Reset, Shizuka and Nagi return
これからどうする？	What now?
主人公が決めなさい	The protagonist must decide
冒険を諦めない	They will not give up
みんなも同じ気持ち	The others feel the same
母親達の反対を押し切る	They override the mothers
冒険を諦めた	They gave up
師匠が現れる	The master appears
さぁ、特訓だ	Now, training
その頃、アメージング城	Meanwhile, Amazing Castle
サテラが母親達から奪った物の	What Satella took from the mothers
対処で悩んでいる	is a problem he cannot solve
特訓終了	Training ends
みんな強くなった	They are all stronger
ダークランスが仲間に加わる	Dark Rance joins the party
引退するアームズが遺産を配る	Arms retires and gives out his legacy
ペアで取りに行け	Go in pairs to fetch it
主人公のペアが決まる	The protagonist's partner is set
幾多の冒険を経て	After many adventures
ハニーインザスカイに到着	they reach Hanny in the Sky
ハニーの国	The Hanny country
ペアとの会話　その１	A talk with the partner - 1
箱の中身が敵側の手に落ちたが	The box's contents fell to the enemy
無事である事が分かる	but they turn out to be safe
ペアとの会話　その２	A talk with the partner - 2
お弁当	A packed lunch
その頃、他のペア達	Meanwhile, the other pairs
他の仲間達の冒険の様子	How the others are getting on
ペアとの会話　その３	A talk with the partner - 3
下に落ちそう	About to fall
魔人かわぞえ登場	Fiend Kawazoe appears
魔人を倒した	The Fiend is beaten
アームズの遺産を取る	They take Arms's legacy
ハニーキングに下に落とされる	The Hanny King drops them below
魔人ますぞえと戦闘	A fight with Fiend Masuzoe
他のペア達も宝探しに成功していた	The other pairs found theirs too
決戦を前にリセットから提案	Reset has a proposal before the end
クエスト達成おめでとう	Quest complete - well done
まずは初戦勝利で喜んでいる	The first win has him pleased
参謀本部から連絡	Word from General Staff HQ
アールコートが参謀に加わる	Arlcoate joins the staff
４地域の戦況報告	Reports from the four regions
魔人ケイブリスが敵総大将	Fiend Kayblis leads the enemy
次の出撃はカラーの森	Next sortie: the Kalar Forest
カラーの森へ移動中	On the way to the Kalar Forest
その頃、ペンシルカウ	Meanwhile, Pencilcow
女王パステルと防衛戦	Queen Pastel and the defence
森を進むランス達	Rance and the rest in the forest
イージスと遭遇	They meet Aegis
魔人レッドアイ登場	Fiend RedEye appears
カラーの村ペンシルカウ	Pencilcow, the Kalar village
ランス達が到着する	Rance and the rest arrive
徹底抗戦を主張するパステル	Pastel insists on fighting on
ランスが放火	Rance sets the place alight
歴代英霊も連れて行く	The old heroic spirits come too
　フル、ビビッド、モダン	Full, Vivid, Modern
２０００人のカラーを脱出させる	Two thousand Kalar get out
シーラとパステル	Sheila and Pastel
脱出用の地下洞窟を通る	Through the escape tunnels
ロナとイアン	Rona and Ian
ストーンガーディアンを倒し進む	They beat a Stone Guardian and go on
ランスとリセット	Rance and Reset
ストーンガーディアン強い…	The Stone Guardian is strong...
ランス達は回り道を余儀なくされた	They are forced to go the long way
ついに魔軍が追いついてきた	The Monster Army catches up at last
最後尾が白色破壊光線で被害を出す	The White Destruction Ray hits the rear
ランスの作戦	Rance's plan
　魔法の直後に突っ込む	Charge right after the magic
　少し下がる	Fall back a little
突っ込む…	They charge...
白色破壊光線に…	into the White Destruction Ray...
白色破壊光線の脅威は続く	The Ray keeps up its threat
　天井に隠れ魔軍が来るのを待つ	Hide up top and wait for them
ランス達は魔軍の前に降り立った	They drop in front of the Monster Army
魔人レッドアイ（アニスに憑依）	Fiend RedEye (possessing Anise)
レッドアイ解説	RedEye explained
魔人レッドアイ強い…	Fiend RedEye is strong...
ひとまず撤退する	They pull back for now
後方業務の魔物兵と遭遇	They meet a rear-echelon monster
リズナを助ける	They save Rizna
魔人レッドアイを倒した	Fiend RedEye is beaten
が、別の身体に憑依し逃げられた	but he possesses another and flees
ランス城、ＣＩＴＹ	Rance Castle, CITY
ランス達は無事に城に戻った	They get back to the castle safe
助けたカラー達は、そのまま合流	The rescued Kalar settle in there
クルックーが川中島に用事で出かけると	Crook has business in Kawanakajima
言うので付いていくランス	so Rance tags along
船旅をへて川中島に到着	By boat, they reach Kawanakajima
魔軍と戦うロードリングと遭遇	Lordring is fighting the Monster Army
サチコとロッキーの宗教観	Sachiko and Rocky on religion
ＡＬ協会地下カイズ	The AL Church, beneath Kaiz
クルックーの無意識？	Crook, not quite herself?
セルさんと遭遇	They meet Sel
地下カイズ、禁断保管庫前	Below Kaiz, the forbidden vault
扉が壊されている	The door has been broken
地下カイズ、禁断保管庫内	Below Kaiz, inside the vault
封印されていたアムを解放する	They free the sealed-away Am
クルックーは反対するが…	Crook is against it, but...
魔血魂を盗み出していた	The Magic Blood Soul was stolen
オーロラと接触	They meet Aurora
地下カイズ、最下層の部屋	Below Kaiz, the lowest room
クルックーが神に謁見	Crook goes before the god
しばらくしてボロボロで戻る	and comes back a wreck
クルックーを抱く	He beds Crook
ランス城　ホーネットの部屋	Rance Castle, Hornet's room
ケイブリスの情報、過去、性格	Kayblis: his past and his nature
倒したら抱けるという約束の再確認	The deal restated: beat him, bed her
ケイブリスの動向が判明	Kayblis's movements come to light
カミーラの誕生会には出るはず	He should be at Camilla's birthday
ホーネットを抱く為にやる	He does it to get Hornet in bed
正面突破を決意	Straight through the front
魔物界に侵入する	They cross into the demon world
誕生パーティの準備中	The birthday party is being set up
人間達が侵入して来た事を知る	He learns humans have broken in
無数の敵と遭遇中	Enemies without number
まだまだ進む	and still they press on
マエリータ隊と接触	They reach the Maelita Squad
少し休憩	A short rest
ホーネットとランスの会話	Hornet and Rance talk
魔人メディウサと接触	They reach Fiend Medusa
魔人パイアールと接触	They reach Fiend Pi-R
サテラとランスの会話	Satella and Rance talk
魔人ケッセルリンクと接触	They reach Fiend Kesselring
魔人レキシントンと接触	They reach Fiend Lexington
ミダラナツリーに到着	They reach the Midarana Tree
カミーラの城を見つける	and find Camilla's castle
その頃　ケイブリス	Meanwhile, Kayblis
ケイブリスは逃げる事を考えるが	Kayblis thinks of running
カミーラに言われて逃げれなくなる	but Camilla's word keeps him there
カミーラ城内	Inside Camilla's castle
ケイブワン、ケイブニャンが現れるが	Kaybwan and Kaybnyan appear
ランス達を通す	but let them through
恐瘴気	The miasma of terror
※処理　★ランク２０以下ダウン	※Handling: rank 20 or under drops
ホーネットの心情	What Hornet feels
　ランス、父ガイ	Rance, and her father Gai
ケイブリスと接触	They reach Kayblis
魔人ケイブリスを倒した	Fiend Kayblis is beaten
魔軍との戦争は終わった	The war with the Monster Army is over
ホーネットを抱く	He beds Hornet
魔軍増援発生地点を突き止める	The reinforcement source is found
そこに魔人ケイブリスが居る情報も得る	and word that Kayblis is there
ランス達はシャングリラ攻略に向かう	They set out to take Shangri-La
キナニ砂漠に到着した	They reach the Kinani Desert
砂漠案内人を雇う	and hire a desert guide
砂漠案内人の先導で進む	On, with the guide leading
砂漠都市シャングリラの情報	What is known of Shangri-La
オアシス発見と近づいたら	An oasis - but up close
蜃気楼だった	it was a mirage
裸の美女発見と近づいたら	A naked beauty - but up close...
砂漠案内人は別れる	The guide takes his leave
魔物兵の鎧を使って偽装	Disguised in monster armour
シャングリラに侵入	they slip into Shangri-La
魔物がうようよしている街中	The streets crawl with monsters
ミラクルの幻覚魔法	Miracle's illusion magic
踊り子シャリエラが現れる	The dancer Shariela appears
シャリエラと踊り子	Shariela and the dancers
かなみを偵察に行かせる	Kanami is sent to scout
魔物が転移してくる魔方陣を発見	They find the teleport circles
今は手出しが出来ない	Nothing can be done yet
シャリエラの踊り	Shariela's dance
